# US places to add for KP-places-1000
# Format: canonical_name|place_type|state_code|parent_place|lat|lon|population
Brooklyn|city|NY|ent_ny|40.6501|-73.94958|2736074
Queens|city|NY|ent_ny|40.68149|-73.83652|2316841
Manhattan|city|NY|ent_ny|40.78343|-73.96625|1487536
The Bronx|city|NY|ent_ny|40.84985|-73.86641|1385108
Jacksonville|city|FL|ent_fl|30.33218|-81.65565|1009833
Fort Worth|city|TX|ent_tx|32.72541|-97.32085|1008106
Oklahoma City|city|OK|ent_ok|35.46756|-97.51643|681054
El Paso|city|TX|ent_tx|31.75872|-106.48693|678815
Louisville|city|KY|ent_ky|38.25424|-85.75941|624444
Fresno|city|CA|ent_ca|36.74773|-119.77237|542107
Sacramento|city|CA|ent_ca|38.58157|-121.4944|524943
Staten Island|city|NY|ent_ny|40.56233|-74.13986|468730
Colorado Springs|city|CO|ent_co|38.83388|-104.82136|456568
Virginia Beach|city|VA|ent_va|36.85293|-75.97799|454808
Oakland|city|CA|ent_ca|37.80437|-122.2708|419267
Tampa|city|FL|ent_fl|27.94752|-82.45843|414547
Bakersfield|city|CA|ent_ca|35.37329|-119.01871|373640
Lexington|city|KY|ent_ky|37.98869|-84.47772|320347
Riverside|city|CA|ent_ca|33.95335|-117.39616|317261
Corpus Christi|city|TX|ent_tx|27.80058|-97.39638|316239
Santa Ana|city|CA|ent_ca|33.74557|-117.86783|310227
Stockton|city|CA|ent_ca|37.9577|-121.29078|305658
Saint Paul|city|MN|ent_mn|44.94441|-93.09327|303176
Lincoln|city|NE|ent_ne|40.8|-96.66696|294757
Newark|city|NJ|ent_nj|40.73566|-74.17237|281944
Madison|city|WI|ent_wi|43.07305|-89.40123|280305
Toledo|city|OH|ent_oh|41.66394|-83.55521|265638
Jersey City|city|NJ|ent_nj|40.72816|-74.07764|264290
Reno|city|NV|ent_nv|39.52963|-119.8138|264165
Fort Wayne|city|IN|ent_in|41.1306|-85.12886|260326
Buffalo|city|NY|ent_ny|42.88645|-78.87837|258071
Durham|city|NC|ent_nc|35.99403|-78.89862|257636
Laredo|city|TX|ent_tx|27.50641|-99.50754|256153
Lubbock|city|TX|ent_tx|33.57786|-101.85517|249042
Winston-Salem|city|NC|ent_nc|36.09986|-80.24422|241218
Norfolk|city|VA|ent_va|36.84681|-76.28522|238005
Boise|city|ID|ent_id|43.6135|-116.20345|235684
Chesapeake|city|VA|ent_va|36.81904|-76.27494|235429
Spokane|city|WA|ent_wa|47.65966|-117.42908|229447
Richmond|city|VA|ent_va|37.55376|-77.46026|226610
Tacoma|city|WA|ent_wa|47.25288|-122.44429|222906
San Bernardino|city|CA|ent_ca|34.10834|-117.28977|216108
Huntsville|city|AL|ent_al|34.7304|-86.58594|215006
Des Moines|city|IA|ent_ia|41.60054|-93.60911|214133
Modesto|city|CA|ent_ca|37.6391|-120.99688|211266
Rochester|city|NY|ent_ny|43.15478|-77.61556|209802
Arlington|city|VA|ent_va|38.88101|-77.10428|207627
Worcester|city|MA|ent_ma|42.26259|-71.80229|206518
Little Rock|city|AR|ent_ar|34.74648|-92.28959|202591
Fayetteville|city|NC|ent_nc|35.05266|-78.87836|201963
Tallahassee|city|FL|ent_fl|30.43826|-84.28073|201731
Amarillo|city|TX|ent_tx|35.222|-101.8313|198645
Akron|city|OH|ent_oh|41.08144|-81.51901|197542
Vancouver|city|WA|ent_wa|45.63873|-122.66149|196442
Montgomery|city|AL|ent_al|32.36681|-86.29997|195287
Grand Rapids|city|MI|ent_mi|42.96336|-85.66809|195097
Providence|city|RI|ent_ri|41.82399|-71.41283|190934
Knoxville|city|TN|ent_tn|35.96064|-83.92074|190740
Shreveport|city|LA|ent_la|32.52515|-93.75018|187593
Brownsville|city|TX|ent_tx|25.90175|-97.49748|186738
Newport News|city|VA|ent_va|36.98038|-76.42975|186247
Mobile|city|AL|ent_al|30.69436|-88.04305|183289
Fort Lauderdale|city|FL|ent_fl|26.12231|-80.14338|183146
Chattanooga|city|TN|ent_tn|35.04563|-85.30968|181099
Santa Rosa|city|CA|ent_ca|38.44047|-122.71443|178127
Eugene|city|OR|ent_or|44.05207|-123.08675|176654
Salem|city|OR|ent_or|44.9429|-123.0351|175535
Sioux Falls|city|SD|ent_sd|43.54369|-96.72796|171544
Fort Collins|city|CO|ent_co|40.58526|-105.08442|170924
Springfield|city|MO|ent_mo|37.21533|-93.29824|170188
Clarksville|city|TN|ent_tn|36.52977|-87.35945|166722
Murfreesboro|city|TN|ent_tn|35.84562|-86.39027|165430
McKinney|city|TX|ent_tx|33.19762|-96.61527|162898
Alexandria|city|VA|ent_va|38.80484|-77.04692|159467
Salinas|city|CA|ent_ca|36.67774|-121.6555|157380
Jackson|city|MS|ent_ms|32.29876|-90.18481|153701
Rockford|city|IL|ent_il|42.27113|-89.094|148278
Joliet|city|IL|ent_il|41.52519|-88.0834|147861
Savannah|city|GA|ent_ga|32.08354|-81.09983|147780
Paterson|city|NJ|ent_nj|40.91677|-74.17181|147754
Gainesville|city|FL|ent_fl|29.65163|-82.32483|145214
Syracuse|city|NY|ent_ny|43.04812|-76.14742|144142
Columbia|city|SC|ent_sc|34.00071|-81.03481|142416
Orange|city|CA|ent_ca|33.78779|-117.85311|140992
Hampton|city|VA|ent_va|37.02987|-76.34522|137148
Dayton|city|OH|ent_oh|39.75895|-84.19161|135512
Olathe|city|KS|ent_ks|38.8814|-94.81913|134305
Charleston|city|SC|ent_sc|32.77632|-79.93275|132609
Midland|city|TX|ent_tx|31.99735|-102.07791|132524
Waco|city|TX|ent_tx|31.54933|-97.14667|132356
Denton|city|TX|ent_tx|33.21484|-97.13307|131044
Cedar Rapids|city|IA|ent_ia|42.00833|-91.64407|130405
Visalia|city|CA|ent_ca|36.33023|-119.29206|130104
Columbia|city|MO|ent_mo|38.95171|-92.33407|129330
Elizabeth|city|NJ|ent_nj|40.66399|-74.2107|129007
Norman|city|OK|ent_ok|35.22257|-97.43948|128026
Athens|city|GA|ent_ga|33.96095|-83.37794|127315
Topeka|city|KS|ent_ks|39.04833|-95.67804|125963
Abilene|city|TX|ent_tx|32.44874|-99.73314|125182
Lafayette|city|LA|ent_la|30.22409|-92.01984|121374
West Palm Beach|city|FL|ent_fl|26.71534|-80.05337|120932
Allentown|city|PA|ent_pa|40.60843|-75.49018|120207
Evansville|city|IN|ent_in|37.97476|-87.55585|119943
Fargo|city|ND|ent_nd|46.87719|-96.7898|118523
Clearwater|city|FL|ent_fl|27.96585|-82.8001|117292
Billings|city|MT|ent_mt|45.78329|-108.50069|117116
Ann Arbor|city|MI|ent_mi|42.27756|-83.74088|117070
Wilmington|city|NC|ent_nc|34.23556|-77.94604|115933
Beaumont|city|TX|ent_tx|30.08605|-94.10185|115282
Provo|city|UT|ent_ut|40.23384|-111.65853|115162
Peoria|city|IL|ent_il|40.69365|-89.58899|115070
Odessa|city|TX|ent_tx|31.84568|-102.36764|114428
Springfield|city|IL|ent_il|39.80172|-89.64371|114394
Fairfield|city|CA|ent_ca|38.24936|-122.03997|112970
Lansing|city|MI|ent_mi|42.73253|-84.55553|112644
Rochester|city|MN|ent_mn|44.02163|-92.4699|112225
Tuscaloosa|city|AL|ent_al|33.20984|-87.56917|111338
Pueblo|city|CO|ent_co|38.25445|-104.60914|109412
Greeley|city|CO|ent_co|40.42331|-104.70913|108795
Everett|city|WA|ent_wa|47.97898|-122.20208|108010
Boulder|city|CO|ent_co|40.01499|-105.27055|106803
Green Bay|city|WI|ent_wi|44.51916|-88.01983|105207
Wichita Falls|city|TX|ent_tx|33.91371|-98.49339|104710
